"","preu","area","qual.total","condicio.total","any","carrer","tipus","garatge.cotxes","garatge.area","aire"
"1",181000,1604,6,5,1997,"Pave","1Fam",2,470,"Y"
"2",124000,1584,5,5,1967,"Pave","Duplex",3,792,"Y"
"3",72000,819,5,4,1919,"Pave","1Fam",0,0,"N"
"4",137000,1229,6,6,1980,"Pave","TwnhsE",2,462,"Y"
"5",124500,864,4,7,1970,"Pave","1Fam",2,463,"Y"
"6",228500,2169,8,5,2002,"Pave","1Fam",2,647,"Y"
"7",235000,1525,7,5,2000,"Pave","1Fam",2,541,"Y"
"8",204000,2299,6,5,1999,"Pave","1Fam",2,482,"Y"
"9",146300,1069,6,5,1975,"Pave","TwnhsE",2,440,"Y"
"10",350000,2006,8,5,1998,"Pave","1Fam",3,938,"Y"
"11",143000,848,6,5,2004,"Pave","TwnhsE",2,420,"Y"
"12",115000,1517,5,7,1919,"Pave","1Fam",0,0,"N"
"13",109500,1040,5,7,1950,"Pave","1Fam",2,625,"Y"
"14",118500,1029,4,5,1961,"Pave","1Fam",1,261,"Y"
"15",356000,1816,9,5,2006,"Pave","1Fam",3,730,"Y"
"16",86900,720,4,8,1900,"Pave","1Fam",1,280,"Y"
"17",124000,1144,5,5,1963,"Pave","1Fam",1,336,"Y"
"18",153000,1118,5,7,1960,"Pave","1Fam",1,264,"Y"
"19",192000,1638,6,5,1998,"Pave","1Fam",2,472,"Y"
"20",184100,1419,8,5,2002,"Pave","1Fam",2,527,"Y"
"21",149500,988,6,8,1959,"Pave","1Fam",1,297,"Y"
"22",103500,1560,5,5,1956,"Pave","1Fam",1,313,"Y"
"23",180500,2499,8,5,1976,"Pave","1Fam",2,527,"Y"
"24",256000,1663,4,6,1954,"Pave","1Fam",2,529,"Y"
"25",141000,1080,7,5,2004,"Pave","1Fam",0,0,"Y"
"26",76500,1306,3,2,1940,"Pave","1Fam",0,0,"Y"
"27",115000,1474,6,2,1952,"Pave","1Fam",2,495,"Y"
"28",100000,1301,5,5,1924,"Pave","1Fam",2,440,"Y"
"29",86000,691,5,6,1920,"Pave","1Fam",1,216,"Y"
"30",203135,1652,7,6,1994,"Pave","1Fam",2,473,"Y"
"31",214000,1378,8,5,2004,"Pave","TwnhsE",2,540,"Y"
"32",191000,1692,7,5,1997,"Pave","1Fam",2,513,"Y"
"33",125000,752,6,5,1984,"Pave","TwnhsE",1,264,"Y"
"34",172000,1083,7,5,1976,"Pave","1Fam",2,596,"Y"
"35",123500,1148,5,7,1952,"Pave","1Fam",1,308,"Y"
