"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex"
"1","Gentoo","Biscoe",49.5,16.1,224,5650,"male"
"2","Gentoo","Biscoe",55.1,16,230,5850,"male"
"3","Adelie","Dream",39.7,17.9,193,4250,"male"
"4","Adelie","Biscoe",35,17.9,190,3450,"female"
"5","Adelie","Torgersen",40.6,19,199,4000,"male"
"6","Chinstrap","Dream",52,18.1,201,4050,"male"
"7","Gentoo","Biscoe",49.2,15.2,221,6300,"male"
"8","Gentoo","Biscoe",50.1,15,225,5000,"male"
"9","Adelie","Torgersen",37.2,19.4,184,3900,"male"
"10","Gentoo","Biscoe",52.1,17,230,5550,"male"
"11","Adelie","Biscoe",45.6,20.3,191,4600,"male"
"12","Gentoo","Biscoe",47.5,14,212,4875,"female"
"13","Chinstrap","Dream",49.7,18.6,195,3600,"male"
"14","Adelie","Torgersen",38.6,21.2,191,3800,"male"
"15","Adelie","Dream",39.8,19.1,184,4650,"male"
"16","Gentoo","Biscoe",49.1,15,228,5500,"male"
"17","Chinstrap","Dream",45.7,17.3,193,3600,"female"
"18","Gentoo","Biscoe",45.8,14.6,210,4200,"female"
"19","Gentoo","Biscoe",48.2,14.3,210,4600,"female"
"20","Adelie","Torgersen",34.6,21.1,198,4400,"male"
"21","Adelie","Biscoe",38.1,16.5,198,3825,"female"
"22","Gentoo","Biscoe",45,15.4,220,5050,"male"
"23","Adelie","Biscoe",36.4,17.1,184,2850,"female"
"24","Adelie","Dream",39,18.7,185,3650,"male"
"25","Chinstrap","Dream",48.5,17.5,191,3400,"male"
"26","Adelie","Dream",40.7,17,190,3725,"male"
"27","Adelie","Dream",35.6,17.5,191,3175,"female"
"28","Chinstrap","Dream",51.3,18.2,197,3750,"male"
"29","Gentoo","Biscoe",48.6,16,230,5800,"male"
"30","Gentoo","Biscoe",50,15.3,220,5550,"male"
"31","Chinstrap","Dream",42.5,17.3,187,3350,"female"
"32","Adelie","Biscoe",35.3,18.9,187,3800,"female"
"33","Adelie","Dream",37,16.9,185,3000,"female"
"34","Gentoo","Biscoe",47.8,15,215,5650,"male"
"35","Gentoo","Biscoe",46.5,14.5,213,4400,"female"
"36","Adelie","Dream",38.8,20,190,3950,"male"
"37","Adelie","Dream",39.2,21.1,196,4150,"male"
"38","Adelie","Torgersen",38.6,17,188,2900,"female"
